lhs,rhs,label,est,std_estimate,se.boot,z.boot,p.boot,ci.lower.boot.025,ci.upper.boot.975
biis_harmony,,,39.433,5.086,2.453,16.077,0,34.651927859363376,44.291511208673896
biis_harmony,mios_total,a,-0.322,-0.437,0.054,-6.002,1.948195382794893e-9,-0.42375591893426406,-0.21389629095766574
biis_harmony,ptsd_positive_screen,,-4.355,-0.166,1.651,-2.638,0.008332994896519619,-7.764854144404225,-1.2301564495582298
biis_harmony,military_exp_combat,,-1.959,-0.11,1.099,-1.782,0.0747168187740983,-4.086493528591087,0.20698717773642086
biis_harmony,highest_rank_numeric,,0.727,0.109,0.353,2.06,0.03935463341845291,0.0333610457812709,1.4254200597298872
biis_harmony,sex_male,,-0.055,-0.003,1.274,-0.043,0.9657421248386384,-2.5267098714246505,2.4227455806982765
biis_harmony,race_white,,1.937,0.09,1.409,1.374,0.16933815342998138,-0.8519066980746809,4.809687774578049
biis_harmony,race_black,,4.403,0.164,1.914,2.301,0.021412093771653984,0.5251884835195498,8.122523480192855
biis_harmony,years_separation,,0.028,0.06,0.035,0.802,0.42246277902458806,-0.040958964345502905,0.09560799320129273
biis_harmony,years_service,,-0.05,-0.044,0.091,-0.544,0.5861247691232827,-0.228019575019766,0.12678590717188806
biis_harmony,discharge_other,,2.892,0.087,1.681,1.72,0.08536883644854276,-0.42700283734596767,6.11808423870753
biis_harmony,discharge_medical,,-0.145,-0.006,1.616,-0.089,0.9287492430402382,-3.558410580391901,2.920899560506668
biis_harmony,unmet_needs_any,,-1.056,-0.068,0.915,-1.155,0.24827258179959433,-2.8344401205143748,0.7229151033028117
m2cq_mean,,,1.251,1.575,0.386,3.242,0.0011869003880846662,0.4749983918629647,2.0028638298377035
m2cq_mean,biis_harmony,b,-0.021,-0.203,0.007,-2.794,0.005206725090540321,-0.03496447488352836,-0.005492278538995215
m2cq_mean,mios_total,c,0.037,0.486,0.006,6.27,3.610753918081855e-10,0.02512611033152843,0.048143204566811454
m2cq_mean,ptsd_positive_screen,,0.123,0.046,0.164,0.751,0.4528723752480437,-0.1881501362202658,0.44543635765460404
m2cq_mean,military_exp_combat,,-0.131,-0.072,0.098,-1.347,0.1779408879859885,-0.3179425053644096,0.0666270432188141
m2cq_mean,highest_rank_numeric,,0.006,0.008,0.034,0.169,0.8654637420620845,-0.05707446134729282,0.07441316840697848
m2cq_mean,sex_male,,-0.098,-0.056,0.1,-0.979,0.3275423555748038,-0.28699227450116477,0.10060518769794434
m2cq_mean,race_white,,-0.242,-0.11,0.168,-1.445,0.14848122461978774,-0.5804721297981985,0.08994487244028944
m2cq_mean,race_black,,-0.111,-0.04,0.203,-0.547,0.5843223951117054,-0.5384154612694408,0.26380721743766783
m2cq_mean,years_separation,,-0.003,-0.061,0.003,-0.894,0.3715339500599313,-0.00948373810700324,0.00316442234575113
m2cq_mean,years_service,,-0.006,-0.048,0.007,-0.822,0.410977433181952,-0.01935619182240423,0.0068459371766275865
m2cq_mean,discharge_other,,-0.067,-0.02,0.161,-0.414,0.67891685172153,-0.38597183478789626,0.2550275654883358
m2cq_mean,discharge_medical,,0.17,0.067,0.113,1.51,0.13111798644024386,-0.057783261524820606,0.3865346256214774
m2cq_mean,unmet_needs_any,,0.16,0.1,0.08,1.994,0.046169249418321234,0.00545700097795105,0.32152000016392956
direct,c,direct,0.037,0.486,0.006,6.269,3.625322264610986e-10,0.02512611033152843,0.048143204566811454
indirect,a*b,indirect,0.007,0.089,0.003,2.426,0.015259369273901369,0.001639054576267559,0.012488844276837047
total,c+(a*b),total,0.043,0.575,0.005,8.606,0,0.03288353453943606,0.05273001218018607
